home,away,ft
Orlando City SC,Toronto FC,"[1, 2]"
Philadelphia Union,Real Salt Lake,"[1, 2]"
New York Red Bulls,Vancouver Whitecaps,"[1, 1]"
New York City FC,Charlotte,"[2, 1]"
New England Revolution,Inter Miami,"[1, 4]"
Columbus Crew,CF Montreal,"[0, 0]"
DC United,Seattle Sounders,"[2, 1]"
FC Cincinnati,Colorado Rapids,"[2, 1]"
FC Dallas,Houston Dynamo,"[2, 0]"
Chicago Fire,Atlanta United FC,"[0, 0]"
Minnesota United FC,Sporting Kansas City,"[2, 1]"
Nashville SC,San Jose Earthquakes,"[1, 1]"
Los Angeles FC,Portland Timbers,"[3, 2]"
Philadelphia Union,Seattle Sounders,"[2, 3]"
San Jose Earthquakes,Los Angeles FC,"[3, 1]"
Orlando City SC,FC Cincinnati,"[0, 1]"
Toronto FC,FC Dallas,"[3, 1]"
Atlanta United FC,Minnesota United FC,"[1, 2]"
DC United,Philadelphia Union,"[2, 2]"
Inter Miami,New York Red Bulls,"[6, 2]"
Charlotte,Portland Timbers,"[2, 0]"
Houston Dynamo,St. Louis City,"[0, 0]"
Chicago Fire,New England Revolution,"[0, 1]"
Nashville SC,CF Montreal,"[4, 1]"
Real Salt Lake,Sporting Kansas City,"[1, 0]"
Vancouver Whitecaps,Austin,"[0, 0]"
New York City FC,Colorado Rapids,"[0, 2]"
Seattle Sounders,Los Angeles Galaxy,"[0, 0]"
Philadelphia Union,Orlando City SC,"[2, 3]"
Toronto FC,New York City FC,"[2, 3]"
New York Red Bulls,New England Revolution,"[4, 2]"
Atlanta United FC,DC United,"[2, 3]"
CF Montreal,Inter Miami,"[2, 3]"
Charlotte,Nashville SC,"[1, 0]"
Columbus Crew,FC Cincinnati,"[1, 2]"
FC Dallas,Austin,"[2, 1]"
Sporting Kansas City,Houston Dynamo,"[1, 2]"
St. Louis City,Chicago Fire,"[3, 1]"
Colorado Rapids,San Jose Earthquakes,"[2, 3]"
Los Angeles Galaxy,Real Salt Lake,"[2, 2]"
Los Angeles FC,Vancouver Whitecaps,"[3, 0]"
