home,away,ft
Santos Laguna,Guadalajara Chivas,"[0, 2]"
Leon,Mazatlán,"[0, 0]"
U.N.A.M. - Pumas,Club Queretaro,"[2, 0]"
Tigres UANL,Toluca,"[2, 1]"
Club America,Pachuca,"[2, 1]"
Necaxa,Atletico San Luis,"[1, 1]"
Atlas,Cruz Azul,"[2, 2]"
FC Juarez,Club Tijuana,"[1, 1]"
Club Queretaro,Santos Laguna,"[3, 2]"
Mazatlán,U.N.A.M. - Pumas,"[0, 1]"
Guadalajara Chivas,Atletico San Luis,"[0, 1]"
Toluca,Club America,"[4, 0]"
Pachuca,FC Juarez,"[0, 1]"
Cruz Azul,Tigres UANL,"[1, 1]"
Necaxa,Atlas,"[0, 0]"
Monterrey,Leon,"[2, 1]"
Club Tijuana,Puebla,"[2, 1]"
Guadalajara Chivas,Atlas,"[1, 2]"
Club Tijuana,Atlas,"[3, 0]"
Club America,Toluca,"[2, 0]"
Club Tijuana,Cruz Azul,"[3, 0]"
Atletico San Luis,Tigres UANL,"[3, 0]"
Monterrey,U.N.A.M. - Pumas,"[1, 0]"
Toluca,Club America,"[0, 2]"
Cruz Azul,Club Tijuana,"[3, 0]"
U.N.A.M. - Pumas,Monterrey,"[3, 5]"
Tigres UANL,Atletico San Luis,"[0, 0]"
Atletico San Luis,Monterrey,"[2, 1]"
Club America,Cruz Azul,"[0, 0]"
Monterrey,Atletico San Luis,"[5, 1]"
Cruz Azul,Club America,"[3, 4]"
Club America,Monterrey,"[2, 1]"
Monterrey,Club America,"[1, 1]"
Club Queretaro,Club America,"[0, 1]"
Mazatlán,FC Juarez,"[1, 1]"
Club Tijuana,Toluca,"[2, 4]"
Atletico San Luis,Tigres UANL,"[1, 3]"
Guadalajara Chivas,Santos Laguna,"[1, 0]"
Cruz Azul,Atlas,"[1, 1]"
U.N.A.M. - Pumas,Necaxa,"[2, 1]"
Monterrey,Puebla,"[1, 1]"
Club America,Club Tijuana,"[1, 1]"
Tigres UANL,Mazatlán,"[2, 1]"
Puebla,Atletico San Luis,"[1, 2]"
Necaxa,Guadalajara Chivas,"[3, 2]"
FC Juarez,Cruz Azul,"[1, 0]"
Toluca,Monterrey,"[1, 1]"
Atlas,Leon,"[1, 2]"
Club Queretaro,U.N.A.M. - Pumas,"[3, 2]"
Pachuca,Santos Laguna,"[2, 1]"
Atletico San Luis,Necaxa,"[0, 3]"
Club Tijuana,Club Queretaro,"[2, 1]"
Mazatlán,Toluca,"[2, 1]"
Leon,FC Juarez,"[1, 0]"
Cruz Azul,Puebla,"[1, 1]"
Guadalajara Chivas,Tigres UANL,"[1, 1]"
Santos Laguna,Club America,"[1, 4]"
Monterrey,Pachuca,"[2, 3]"
U.N.A.M. - Pumas,Atlas,"[0, 0]"
Club America,Atletico San Luis,"[3, 0]"
Puebla,Mazatlán,"[0, 1]"
Tigres UANL,Club Tijuana,"[4, 0]"
Leon,Guadalajara Chivas,"[2, 1]"
Necaxa,Cruz Azul,"[1, 3]"
Atlas,Monterrey,"[3, 3]"
