home,away,ft
Edmonton Oilers,Chicago Blackhawks,"[2, 5]"
San Jose Sharks,Anaheim Ducks,"[0, 2]"
Dallas Stars,Seattle Kraken,"[2, 0]"
Edmonton Oilers,Calgary Flames,"[1, 4]"
Vegas Golden Knights,Anaheim Ducks,"[3, 1]"
Boston Bruins,Florida Panthers,"[3, 4]"
New Jersey Devils,Utah Mammoth,"[3, 0]"
New York Rangers,Detroit Red Wings,"[4, 1]"
Montreal Canadiens,Pittsburgh Penguins,"[3, 6]"
Colorado Avalanche,New York Islanders,"[2, 6]"
Washington Capitals,Vegas Golden Knights,"[4, 2]"
Columbus Blue Jackets,Florida Panthers,"[3, 4]"
Tampa Bay Lightning,Vancouver Canucks,"[4, 1]"
Carolina Hurricanes,New Jersey Devils,"[4, 2]"
St. Louis Blues,Minnesota Wild,"[1, 4]"
Nashville Predators,Seattle Kraken,"[3, 7]"
Calgary Flames,Chicago Blackhawks,"[3, 1]"
Toronto Maple Leafs,Los Angeles Kings,"[6, 2]"
Colorado Avalanche,Boston Bruins,"[3, 5]"
Montreal Canadiens,Los Angeles Kings,"[1, 4]"
Ottawa Senators,New Jersey Devils,"[1, 3]"
Tampa Bay Lightning,Vegas Golden Knights,"[4, 3]"
Washington Capitals,Dallas Stars,"[3, 2]"
Columbus Blue Jackets,Buffalo Sabres,"[6, 4]"
Detroit Red Wings,New York Rangers,"[2, 5]"
Nashville Predators,Edmonton Oilers,"[2, 4]"
Chicago Blackhawks,San Jose Sharks,"[4, 2]"
Seattle Kraken,Philadelphia Flyers,"[6, 4]"
Pittsburgh Penguins,Carolina Hurricanes,"[1, 4]"
Winnipeg Jets,San Jose Sharks,"[8, 3]"
Ottawa Senators,Tampa Bay Lightning,"[5, 4]"
Nashville Predators,Detroit Red Wings,"[2, 5]"
Dallas Stars,Edmonton Oilers,"[4, 1]"
Toronto Maple Leafs,New York Rangers,"[1, 4]"
St. Louis Blues,Carolina Hurricanes,"[4, 3]"
Philadelphia Flyers,Vancouver Canucks,"[0, 3]"
Columbus Blue Jackets,Minnesota Wild,"[1, 3]"
Chicago Blackhawks,Buffalo Sabres,"[2, 4]"
Winnipeg Jets,Pittsburgh Penguins,"[6, 3]"
Anaheim Ducks,Los Angeles Kings,"[1, 4]"
San Jose Sharks,Colorado Avalanche,"[1, 4]"
Toronto Maple Leafs,Tampa Bay Lightning,"[5, 2]"
Philadelphia Flyers,Washington Capitals,"[1, 4]"
Florida Panthers,Minnesota Wild,"[1, 5]"
New Jersey Devils,Tampa Bay Lightning,"[5, 8]"
Buffalo Sabres,Dallas Stars,"[4, 2]"
Montreal Canadiens,New York Rangers,"[2, 7]"
Columbus Blue Jackets,Toronto Maple Leafs,"[6, 2]"
New York Islanders,Detroit Red Wings,"[0, 1]"
St. Louis Blues,Winnipeg Jets,"[2, 3]"
Chicago Blackhawks,Vancouver Canucks,"[3, 6]"
Seattle Kraken,Colorado Avalanche,"[2, 3]"
Nashville Predators,Boston Bruins,"[4, 0]"
Utah Mammoth,Ottawa Senators,"[0, 4]"
Anaheim Ducks,San Jose Sharks,"[3, 1]"
Vegas Golden Knights,Los Angeles Kings,"[6, 1]"
Washington Capitals,Philadelphia Flyers,"[6, 3]"
Boston Bruins,Dallas Stars,"[2, 5]"
Detroit Red Wings,New Jersey Devils,"[5, 3]"
New York Rangers,Florida Panthers,"[1, 3]"
Tampa Bay Lightning,Minnesota Wild,"[2, 4]"
Toronto Maple Leafs,St. Louis Blues,"[1, 5]"
Calgary Flames,Carolina Hurricanes,"[2, 4]"
Utah Mammoth,Colorado Avalanche,"[1, 5]"
Los Angeles Kings,San Jose Sharks,"[3, 2]"
Vegas Golden Knights,Ottawa Senators,"[6, 4]"
Chicago Blackhawks,Nashville Predators,"[2, 3]"
Edmonton Oilers,Pittsburgh Penguins,"[4, 0]"
Buffalo Sabres,Detroit Red Wings,"[5, 3]"
Philadelphia Flyers,Minnesota Wild,"[7, 5]"
Los Angeles Kings,Utah Mammoth,"[3, 2]"
New York Rangers,Anaheim Ducks,"[2, 1]"
Tampa Bay Lightning,Washington Capitals,"[3, 0]"
Montreal Canadiens,St. Louis Blues,"[5, 2]"
Calgary Flames,Winnipeg Jets,"[3, 5]"
New York Islanders,Florida Panthers,"[3, 6]"
Dallas Stars,Chicago Blackhawks,"[4, 2]"
Seattle Kraken,Carolina Hurricanes,"[1, 4]"
Vancouver Canucks,Pittsburgh Penguins,"[4, 3]"
Vegas Golden Knights,San Jose Sharks,"[7, 3]"
New Jersey Devils,Anaheim Ducks,"[6, 2]"
Philadelphia Flyers,Montreal Canadiens,"[3, 4]"
Colorado Avalanche,Ottawa Senators,"[5, 4]"
Buffalo Sabres,Florida Panthers,"[2, 5]"
Columbus Blue Jackets,Edmonton Oilers,"[6, 1]"
Winnipeg Jets,Toronto Maple Leafs,"[4, 6]"
Colorado Avalanche,Chicago Blackhawks,"[2, 5]"
Vegas Golden Knights,Calgary Flames,"[5, 0]"
Boston Bruins,Philadelphia Flyers,"[0, 2]"
Montreal Canadiens,Seattle Kraken,"[2, 8]"
New York Islanders,Anaheim Ducks,"[1, 3]"
Ottawa Senators,St. Louis Blues,"[8, 1]"
Pittsburgh Penguins,Minnesota Wild,"[3, 5]"
Washington Capitals,New York Rangers,"[5, 3]"
