home,away,ft
Monza,Udinese,"[1, 2]"
Empoli,Torino,"[0, 1]"
Cagliari,Atalanta,"[0, 1]"
Udinese,Napoli,"[1, 3]"
Juventus,Venezia,"[2, 2]"
Lecce,Monza,"[2, 1]"
Bologna,Fiorentina,"[1, 0]"
Parma,Verona,"[2, 3]"
Como,AS Roma,"[2, 0]"
AC Milan,Genoa,"[0, 0]"
Lazio,Inter,"[0, 6]"
Verona,AC Milan,"[0, 1]"
Torino,Bologna,"[0, 2]"
Genoa,Napoli,"[1, 2]"
Lecce,Lazio,"[1, 2]"
AS Roma,Parma,"[5, 0]"
Venezia,Cagliari,"[2, 1]"
Atalanta,Empoli,"[3, 2]"
Monza,Juventus,"[1, 2]"
Fiorentina,Udinese,"[1, 2]"
Inter,Como,"[2, 0]"
Empoli,Genoa,"[1, 2]"
Parma,Monza,"[2, 1]"
Cagliari,Inter,"[0, 3]"
Lazio,Atalanta,"[1, 1]"
Udinese,Torino,"[2, 2]"
Napoli,Venezia,"[1, 0]"
Juventus,Fiorentina,"[2, 2]"
AC Milan,AS Roma,"[1, 1]"
Como,Lecce,"[2, 0]"
Bologna,Verona,"[2, 3]"
Venezia,Empoli,"[1, 1]"
Fiorentina,Napoli,"[0, 3]"
Verona,Udinese,"[0, 0]"
Monza,Cagliari,"[1, 2]"
Lecce,Genoa,"[0, 0]"
Torino,Parma,"[0, 0]"
AS Roma,Lazio,"[2, 0]"
Lazio,Como,"[1, 1]"
Udinese,Atalanta,"[0, 0]"
Empoli,Lecce,"[1, 3]"
Torino,Juventus,"[1, 1]"
AC Milan,Cagliari,"[1, 1]"
Genoa,Parma,"[1, 0]"
Venezia,Inter,"[0, 1]"
Bologna,AS Roma,"[2, 2]"
Napoli,Verona,"[2, 0]"
Monza,Fiorentina,"[2, 1]"
Como,AC Milan,"[1, 2]"
Atalanta,Juventus,"[1, 1]"
Inter,Bologna,"[2, 2]"
AS Roma,Genoa,"[3, 1]"
Bologna,Monza,"[3, 1]"
Juventus,AC Milan,"[2, 0]"
Atalanta,Napoli,"[2, 3]"
Fiorentina,Torino,"[1, 1]"
Cagliari,Lecce,"[4, 1]"
Parma,Venezia,"[1, 1]"
Verona,Lazio,"[0, 3]"
Inter,Empoli,"[3, 1]"
Como,Udinese,"[4, 1]"
Torino,Cagliari,"[2, 0]"
Como,Atalanta,"[1, 2]"
Napoli,Juventus,"[2, 1]"
Empoli,Bologna,"[1, 1]"
AC Milan,Parma,"[3, 2]"
Udinese,AS Roma,"[1, 2]"
Lecce,Inter,"[0, 4]"
Lazio,Fiorentina,"[1, 2]"
Venezia,Verona,"[1, 1]"
Genoa,Monza,"[2, 0]"
Parma,Lecce,"[1, 3]"
Udinese,Venezia,"[3, 2]"
Monza,Verona,"[0, 1]"
Atalanta,Torino,"[1, 1]"
Bologna,Como,"[2, 0]"
Juventus,Empoli,"[4, 1]"
Fiorentina,Genoa,"[2, 1]"
AC Milan,Inter,"[1, 1]"
AS Roma,Napoli,"[1, 1]"
Cagliari,Lazio,"[1, 2]"
Fiorentina,Inter,"[3, 0]"
Como,Juventus,"[1, 2]"
Verona,Atalanta,"[0, 5]"
Empoli,AC Milan,"[0, 2]"
Torino,Genoa,"[1, 1]"
Venezia,AS Roma,"[0, 1]"
Lazio,Monza,"[5, 1]"
Cagliari,Parma,"[2, 1]"
Lecce,Bologna,"[0, 0]"
Napoli,Udinese,"[1, 1]"
Inter,Fiorentina,"[2, 1]"
Bologna,Torino,"[3, 2]"
Atalanta,Cagliari,"[0, 0]"
Lazio,Napoli,"[2, 2]"
AC Milan,Verona,"[1, 0]"
Fiorentina,Como,"[0, 2]"
Udinese,Empoli,"[3, 0]"
Monza,Lecce,"[0, 0]"
Parma,AS Roma,"[0, 1]"
Juventus,Inter,"[1, 0]"
Genoa,Venezia,"[2, 0]"
Lecce,Udinese,"[0, 1]"
Venezia,Lazio,"[0, 0]"
Parma,Bologna,"[2, 0]"
Torino,AC Milan,"[2, 1]"
Inter,Genoa,"[1, 0]"
Como,Napoli,"[2, 1]"
Verona,Fiorentina,"[1, 0]"
Empoli,Atalanta,"[0, 5]"
Cagliari,Juventus,"[0, 1]"
AS Roma,Monza,"[4, 0]"
Bologna,AC Milan,"[2, 1]"
Fiorentina,Lecce,"[1, 0]"
Atalanta,Venezia,"[0, 0]"
Napoli,Inter,"[1, 1]"
Udinese,Parma,"[1, 0]"
Monza,Torino,"[0, 2]"
Genoa,Empoli,"[1, 1]"
Bologna,Cagliari,"[2, 1]"
AS Roma,Como,"[2, 1]"
AC Milan,Lazio,"[1, 2]"
Juventus,Verona,"[2, 0]"
Cagliari,Genoa,"[1, 1]"
Parma,Torino,"[2, 2]"
Como,Venezia,"[1, 1]"
Lecce,AC Milan,"[2, 3]"
Inter,Monza,"[3, 2]"
Verona,Bologna,"[1, 2]"
Napoli,Fiorentina,"[2, 1]"
Empoli,AS Roma,"[0, 1]"
Juventus,Atalanta,"[0, 4]"
Lazio,Udinese,"[1, 1]"
Genoa,Lecce,"[2, 1]"
Udinese,Verona,"[0, 1]"
Monza,Parma,"[1, 1]"
AC Milan,Como,"[2, 1]"
Torino,Empoli,"[1, 0]"
Venezia,Napoli,"[0, 0]"
Bologna,Lazio,"[5, 0]"
AS Roma,Cagliari,"[1, 0]"
Fiorentina,Juventus,"[3, 0]"
Atalanta,Inter,"[0, 2]"
Venezia,Bologna,"[0, 1]"
Como,Empoli,"[1, 1]"
Juventus,Genoa,"[1, 0]"
Lecce,AS Roma,"[0, 1]"
Cagliari,Monza,"[3, 0]"
Fiorentina,Atalanta,"[1, 0]"
Inter,Udinese,"[2, 1]"
Napoli,AC Milan,"[2, 1]"
Verona,Parma,"[0, 0]"
Lazio,Torino,"[1, 1]"
Genoa,Udinese,"[1, 0]"
Monza,Como,"[1, 3]"
Parma,Inter,"[2, 2]"
AC Milan,Fiorentina,"[2, 2]"
Lecce,Venezia,"[1, 1]"
Torino,Verona,"[1, 1]"
Empoli,Cagliari,"[0, 0]"
Atalanta,Lazio,"[0, 1]"
AS Roma,Juventus,"[1, 1]"
Bologna,Napoli,"[1, 1]"
Udinese,AC Milan,"[0, 4]"
Venezia,Monza,"[1, 0]"
Inter,Cagliari,"[3, 1]"
Juventus,Lecce,"[2, 1]"
Atalanta,Bologna,"[2, 0]"
Fiorentina,Parma,"[0, 0]"
Verona,Genoa,"[0, 0]"
Como,Torino,"[1, 0]"
