home,away,ft
Everton,Wolves,"[4, 0]"
Manchester City,Nottingham Forest,"[3, 0]"
Arsenal,Manchester United,"[2, 0]"
Aston Villa,Brentford,"[3, 1]"
Fulham,Brighton,"[3, 1]"
Bournemouth,Tottenham,"[1, 0]"
Crystal Palace,Manchester City,"[2, 2]"
Brentford,Newcastle,"[4, 2]"
Aston Villa,Southampton,"[1, 0]"
Manchester United,Nottingham Forest,"[2, 3]"
Fulham,Arsenal,"[1, 1]"
Leicester,Brighton,"[2, 2]"
Ipswich,Bournemouth,"[1, 2]"
Tottenham,Chelsea,"[3, 4]"
West Ham,Wolves,"[2, 1]"
Newcastle,Leicester,"[4, 0]"
Wolves,Ipswich,"[1, 2]"
Liverpool,Fulham,"[2, 2]"
Arsenal,Everton,"[0, 0]"
Nottingham Forest,Aston Villa,"[2, 1]"
Brighton,Crystal Palace,"[1, 3]"
Manchester City,Manchester United,"[1, 2]"
Southampton,Tottenham,"[0, 5]"
Chelsea,Brentford,"[2, 1]"
Bournemouth,West Ham,"[1, 1]"
Aston Villa,Manchester City,"[2, 1]"
West Ham,Brighton,"[1, 1]"
Brentford,Nottingham Forest,"[0, 2]"
Ipswich,Newcastle,"[0, 4]"
Crystal Palace,Arsenal,"[1, 5]"
Manchester United,Bournemouth,"[0, 3]"
Fulham,Southampton,"[0, 0]"
Everton,Chelsea,"[0, 0]"
Leicester,Wolves,"[0, 3]"
Tottenham,Liverpool,"[3, 6]"
Manchester City,Everton,"[1, 1]"
Newcastle,Aston Villa,"[3, 0]"
Bournemouth,Crystal Palace,"[0, 0]"
Southampton,West Ham,"[0, 1]"
Chelsea,Fulham,"[1, 2]"
Nottingham Forest,Tottenham,"[1, 0]"
Wolves,Manchester United,"[2, 0]"
Liverpool,Leicester,"[3, 1]"
Brighton,Brentford,"[0, 0]"
Arsenal,Ipswich,"[1, 0]"
Leicester,Manchester City,"[0, 2]"
Fulham,Bournemouth,"[2, 2]"
Everton,Nottingham Forest,"[0, 2]"
Tottenham,Wolves,"[2, 2]"
Crystal Palace,Southampton,"[2, 1]"
West Ham,Liverpool,"[0, 5]"
Ipswich,Chelsea,"[2, 0]"
Aston Villa,Brighton,"[2, 2]"
Manchester United,Newcastle,"[0, 2]"
Brentford,Arsenal,"[1, 3]"
Tottenham,Newcastle,"[1, 2]"
Bournemouth,Everton,"[1, 0]"
Southampton,Brentford,"[0, 5]"
Manchester City,West Ham,"[4, 1]"
Crystal Palace,Chelsea,"[1, 1]"
Aston Villa,Leicester,"[2, 1]"
Brighton,Arsenal,"[1, 1]"
Fulham,Ipswich,"[2, 2]"
Liverpool,Manchester United,"[2, 2]"
Wolves,Nottingham Forest,"[0, 3]"
West Ham,Fulham,"[3, 2]"
Chelsea,Bournemouth,"[2, 2]"
Brentford,Manchester City,"[2, 2]"
Nottingham Forest,Liverpool,"[1, 1]"
Newcastle,Wolves,"[3, 0]"
Everton,Aston Villa,"[0, 1]"
Leicester,Crystal Palace,"[0, 2]"
Arsenal,Tottenham,"[2, 1]"
Ipswich,Brighton,"[0, 2]"
Manchester United,Southampton,"[3, 1]"
Newcastle,Bournemouth,"[1, 4]"
Leicester,Fulham,"[0, 2]"
West Ham,Crystal Palace,"[0, 2]"
Brentford,Liverpool,"[0, 2]"
Arsenal,Aston Villa,"[2, 2]"
Manchester United,Brighton,"[1, 3]"
Everton,Tottenham,"[3, 2]"
Nottingham Forest,Southampton,"[3, 2]"
Ipswich,Manchester City,"[0, 6]"
Chelsea,Wolves,"[3, 1]"
Bournemouth,Nottingham Forest,"[5, 0]"
Wolves,Arsenal,"[0, 1]"
Liverpool,Ipswich,"[4, 1]"
Southampton,Newcastle,"[1, 3]"
Brighton,Everton,"[0, 1]"
Manchester City,Chelsea,"[3, 1]"
Tottenham,Leicester,"[1, 2]"
Crystal Palace,Brentford,"[1, 2]"
Aston Villa,West Ham,"[1, 1]"
Fulham,Manchester United,"[0, 1]"
Nottingham Forest,Brighton,"[7, 0]"
Newcastle,Fulham,"[1, 2]"
Bournemouth,Liverpool,"[0, 2]"
Everton,Leicester,"[4, 0]"
Ipswich,Southampton,"[1, 2]"
Wolves,Aston Villa,"[2, 0]"
Manchester United,Crystal Palace,"[0, 2]"
Brentford,Tottenham,"[0, 2]"
Arsenal,Manchester City,"[5, 1]"
Chelsea,West Ham,"[2, 1]"
Everton,Liverpool,"[2, 2]"
Brighton,Chelsea,"[3, 0]"
Leicester,Arsenal,"[0, 2]"
Fulham,Nottingham Forest,"[2, 1]"
Southampton,Bournemouth,"[1, 3]"
