home,away,ft
Willem II,Heerenveen,"[1, 2]"
AZ Alkmaar,Ajax,"[2, 1]"
Almere City FC,Utrecht,"[1, 3]"
PEC Zwolle,Willem II,"[0, 1]"
Heerenveen,PSV Eindhoven,"[1, 0]"
Fortuna Sittard,Waalwijk,"[3, 2]"
Feyenoord,Heracles,"[5, 2]"
Utrecht,GO Ahead Eagles,"[3, 3]"
NEC Nijmegen,Sparta Rotterdam,"[1, 1]"
Twente,Groningen,"[2, 0]"
Ajax,Almere City FC,"[3, 0]"
NAC Breda,AZ Alkmaar,"[1, 2]"
Waalwijk,PEC Zwolle,"[1, 1]"
GO Ahead Eagles,NAC Breda,"[2, 1]"
Almere City FC,Heerenveen,"[3, 0]"
AZ Alkmaar,Twente,"[1, 0]"
Sparta Rotterdam,Ajax,"[0, 2]"
PSV Eindhoven,Feyenoord,"[3, 0]"
Utrecht,Fortuna Sittard,"[2, 5]"
Willem II,NEC Nijmegen,"[4, 1]"
Fortuna Sittard,GO Ahead Eagles,"[0, 3]"
Heracles,Sparta Rotterdam,"[1, 1]"
Ajax,Waalwijk,"[2, 1]"
PEC Zwolle,NEC Nijmegen,"[0, 1]"
PSV Eindhoven,AZ Alkmaar,"[2, 2]"
Twente,Willem II,"[6, 2]"
Groningen,Almere City FC,"[0, 0]"
Feyenoord,Utrecht,"[1, 2]"
NAC Breda,Heerenveen,"[2, 4]"
PEC Zwolle,PSV Eindhoven,"[3, 1]"
Utrecht,AZ Alkmaar,"[0, 0]"
Willem II,Feyenoord,"[1, 1]"
GO Ahead Eagles,Groningen,"[2, 1]"
NAC Breda,Twente,"[2, 1]"
Heerenveen,Ajax,"[0, 2]"
Almere City FC,Heracles,"[0, 2]"
NEC Nijmegen,Fortuna Sittard,"[4, 1]"
Sparta Rotterdam,Waalwijk,"[1, 1]"
Heracles,Utrecht,"[1, 1]"
PSV Eindhoven,NAC Breda,"[3, 2]"
Groningen,Heerenveen,"[1, 0]"
Fortuna Sittard,PEC Zwolle,"[1, 4]"
Waalwijk,Willem II,"[2, 0]"
AZ Alkmaar,Sparta Rotterdam,"[1, 2]"
Heracles,Groningen,"[1, 1]"
NAC Breda,Heracles,"[1, 1]"
PEC Zwolle,Utrecht,"[3, 3]"
Heerenveen,Fortuna Sittard,"[2, 2]"
NEC Nijmegen,PSV Eindhoven,"[3, 3]"
Almere City FC,Waalwijk,"[1, 4]"
Ajax,Feyenoord,"[2, 1]"
GO Ahead Eagles,Twente,"[2, 2]"
Sparta Rotterdam,Groningen,"[1, 0]"
Willem II,AZ Alkmaar,"[0, 2]"
Heracles,GO Ahead Eagles,"[4, 2]"
PSV Eindhoven,Willem II,"[1, 1]"
Groningen,NEC Nijmegen,"[2, 1]"
Feyenoord,Sparta Rotterdam,"[3, 0]"
Utrecht,Almere City FC,"[0, 1]"
Fortuna Sittard,Ajax,"[0, 2]"
Waalwijk,NAC Breda,"[5, 0]"
AZ Alkmaar,PEC Zwolle,"[2, 0]"
Heerenveen,Twente,"[3, 3]"
GO Ahead Eagles,Sparta Rotterdam,"[1, 0]"
PSV Eindhoven,Utrecht,"[2, 2]"
NAC Breda,Feyenoord,"[0, 0]"
Willem II,Groningen,"[1, 3]"
NEC Nijmegen,Almere City FC,"[2, 2]"
PEC Zwolle,Heerenveen,"[1, 1]"
Twente,Waalwijk,"[2, 0]"
Ajax,Heracles,"[4, 0]"
Feyenoord,Almere City FC,"[2, 1]"
Ajax,GO Ahead Eagles,"[2, 0]"
Twente,NEC Nijmegen,"[2, 0]"
AZ Alkmaar,Fortuna Sittard,"[1, 0]"
Waalwijk,Fortuna Sittard,"[1, 2]"
Utrecht,NAC Breda,"[1, 0]"
GO Ahead Eagles,PSV Eindhoven,"[3, 2]"
Groningen,Twente,"[1, 1]"
Feyenoord,NEC Nijmegen,"[0, 0]"
Heerenveen,AZ Alkmaar,"[3, 1]"
Heracles,PEC Zwolle,"[4, 2]"
Almere City FC,Ajax,"[0, 1]"
Sparta Rotterdam,Willem II,"[4, 0]"
NAC Breda,Sparta Rotterdam,"[1, 1]"
Fortuna Sittard,Heracles,"[1, 0]"
PSV Eindhoven,Heerenveen,"[2, 1]"
Willem II,Utrecht,"[2, 3]"
PEC Zwolle,Ajax,"[0, 1]"
NEC Nijmegen,GO Ahead Eagles,"[2, 3]"
Twente,Almere City FC,"[1, 0]"
