home,away,ft
SC Freiburg,Borussia Mönchengladbach,"[3, 1]"
Werder Bremen,VfB Stuttgart,"[2, 2]"
FC Augsburg,VfL Bochum,"[1, 0]"
RB Leipzig,VfL Wolfsburg,"[1, 5]"
Union Berlin,Bayer Leverkusen,"[1, 2]"
Borussia Dortmund,Bayern München,"[1, 1]"
FSV Mainz 05,1899 Hoffenheim,"[2, 0]"
1. FC Heidenheim,Eintracht Frankfurt,"[0, 4]"
VfB Stuttgart,Union Berlin,"[3, 2]"
Bayern München,1. FC Heidenheim,"[4, 2]"
Bayer Leverkusen,FC St. Pauli,"[2, 1]"
Eintracht Frankfurt,FC Augsburg,"[2, 2]"
VfL Bochum,Werder Bremen,"[0, 1]"
Holstein Kiel,RB Leipzig,"[0, 2]"
Borussia Mönchengladbach,Borussia Dortmund,"[1, 1]"
VfL Wolfsburg,FSV Mainz 05,"[4, 3]"
1899 Hoffenheim,SC Freiburg,"[1, 1]"
SC Freiburg,VfL Wolfsburg,"[3, 2]"
Borussia Mönchengladbach,Holstein Kiel,"[4, 1]"
FSV Mainz 05,Bayern München,"[2, 1]"
FC Augsburg,Bayer Leverkusen,"[0, 2]"
Union Berlin,VfL Bochum,"[1, 1]"
FC St. Pauli,Werder Bremen,"[0, 2]"
1. FC Heidenheim,VfB Stuttgart,"[1, 3]"
Borussia Dortmund,1899 Hoffenheim,"[1, 1]"
RB Leipzig,Eintracht Frankfurt,"[2, 1]"
Bayern München,RB Leipzig,"[5, 1]"
Werder Bremen,Union Berlin,"[4, 1]"
1899 Hoffenheim,Borussia Mönchengladbach,"[1, 2]"
Eintracht Frankfurt,FSV Mainz 05,"[1, 3]"
VfB Stuttgart,FC St. Pauli,"[0, 1]"
Holstein Kiel,FC Augsburg,"[5, 1]"
Bayer Leverkusen,SC Freiburg,"[5, 1]"
VfL Bochum,1. FC Heidenheim,"[2, 0]"
VfL Wolfsburg,Borussia Dortmund,"[1, 3]"
Borussia Dortmund,Bayer Leverkusen,"[2, 3]"
SC Freiburg,Holstein Kiel,"[3, 2]"
FSV Mainz 05,VfL Bochum,"[2, 0]"
1899 Hoffenheim,VfL Wolfsburg,"[0, 1]"
1. FC Heidenheim,Union Berlin,"[2, 0]"
FC St. Pauli,Eintracht Frankfurt,"[0, 1]"
Borussia Mönchengladbach,Bayern München,"[0, 1]"
RB Leipzig,Werder Bremen,"[4, 2]"
FC Augsburg,VfB Stuttgart,"[0, 1]"
Holstein Kiel,Borussia Dortmund,"[4, 2]"
VfL Wolfsburg,Borussia Mönchengladbach,"[5, 1]"
Bayer Leverkusen,FSV Mainz 05,"[1, 0]"
Eintracht Frankfurt,SC Freiburg,"[4, 1]"
VfL Bochum,FC St. Pauli,"[1, 0]"
Bayern München,1899 Hoffenheim,"[5, 0]"
Werder Bremen,1. FC Heidenheim,"[3, 3]"
VfB Stuttgart,RB Leipzig,"[2, 1]"
Union Berlin,FC Augsburg,"[0, 2]"
Eintracht Frankfurt,Borussia Dortmund,"[2, 0]"
Bayern München,VfL Wolfsburg,"[3, 2]"
VfB Stuttgart,SC Freiburg,"[4, 0]"
VfL Bochum,RB Leipzig,"[3, 3]"
1. FC Heidenheim,FC St. Pauli,"[0, 2]"
Holstein Kiel,1899 Hoffenheim,"[1, 3]"
Bayer Leverkusen,Borussia Mönchengladbach,"[3, 1]"
Union Berlin,FSV Mainz 05,"[2, 1]"
Werder Bremen,FC Augsburg,"[0, 2]"
VfL Wolfsburg,Holstein Kiel,"[2, 2]"
SC Freiburg,Bayern München,"[1, 2]"
FSV Mainz 05,VfB Stuttgart,"[2, 0]"
Borussia Dortmund,Werder Bremen,"[2, 2]"
FC Augsburg,1. FC Heidenheim,"[2, 1]"
RB Leipzig,Bayer Leverkusen,"[2, 2]"
Borussia Mönchengladbach,VfL Bochum,"[3, 0]"
1899 Hoffenheim,Eintracht Frankfurt,"[2, 2]"
FC St. Pauli,Union Berlin,"[3, 0]"
Werder Bremen,FSV Mainz 05,"[1, 0]"
Bayern München,Holstein Kiel,"[4, 3]"
VfB Stuttgart,Borussia Mönchengladbach,"[1, 2]"
VfL Bochum,SC Freiburg,"[0, 1]"
1. FC Heidenheim,Borussia Dortmund,"[1, 2]"
FC St. Pauli,FC Augsburg,"[1, 1]"
Union Berlin,RB Leipzig,"[0, 0]"
Eintracht Frankfurt,VfL Wolfsburg,"[1, 1]"
Bayer Leverkusen,1899 Hoffenheim,"[3, 1]"
Bayern München,Werder Bremen,"[3, 0]"
SC Freiburg,1. FC Heidenheim,"[1, 0]"
VfL Wolfsburg,Bayer Leverkusen,"[0, 0]"
FSV Mainz 05,FC Augsburg,"[0, 0]"
Borussia Dortmund,VfB Stuttgart,"[1, 2]"
1899 Hoffenheim,Union Berlin,"[0, 4]"
Borussia Mönchengladbach,Eintracht Frankfurt,"[1, 1]"
Holstein Kiel,VfL Bochum,"[2, 2]"
RB Leipzig,FC St. Pauli,"[2, 0]"
FC Augsburg,RB Leipzig,"[0, 0]"
VfB Stuttgart,VfL Wolfsburg,"[1, 2]"
VfL Bochum,Borussia Dortmund,"[2, 0]"
Union Berlin,Borussia Mönchengladbach,"[1, 2]"
FC St. Pauli,SC Freiburg,"[0, 1]"
Bayer Leverkusen,Bayern München,"[0, 0]"
Werder Bremen,1899 Hoffenheim,"[1, 3]"
Eintracht Frankfurt,Holstein Kiel,"[3, 1]"
1. FC Heidenheim,FSV Mainz 05,"[0, 2]"
SC Freiburg,Werder Bremen,"[5, 0]"
VfL Wolfsburg,VfL Bochum,"[1, 1]"
Borussia Mönchengladbach,FC Augsburg,"[0, 3]"
FSV Mainz 05,FC St. Pauli,"[2, 0]"
Holstein Kiel,Bayer Leverkusen,"[0, 2]"
Borussia Dortmund,Union Berlin,"[6, 0]"
RB Leipzig,1. FC Heidenheim,"[2, 2]"
Bayern München,Eintracht Frankfurt,"[4, 0]"
1899 Hoffenheim,VfB Stuttgart,"[1, 1]"
VfB Stuttgart,Bayern München,"[1, 3]"
Werder Bremen,VfL Wolfsburg,"[1, 2]"
RB Leipzig,FSV Mainz 05,"[1, 2]"
VfL Bochum,1899 Hoffenheim,"[0, 1]"
1. FC Heidenheim,Borussia Mönchengladbach,"[0, 3]"
FC St. Pauli,Borussia Dortmund,"[0, 2]"
Eintracht Frankfurt,Bayer Leverkusen,"[1, 4]"
Union Berlin,Holstein Kiel,"[0, 1]"
FC Augsburg,SC Freiburg,"[0, 0]"
Borussia Mönchengladbach,FSV Mainz 05,"[1, 3]"
Bayern München,VfL Bochum,"[2, 3]"
VfL Wolfsburg,FC St. Pauli,"[1, 1]"
Borussia Dortmund,FC Augsburg,"[0, 1]"
Bayer Leverkusen,Werder Bremen,"[0, 2]"
Holstein Kiel,VfB Stuttgart,"[2, 2]"
SC Freiburg,RB Leipzig,"[0, 0]"
Eintracht Frankfurt,Union Berlin,"[1, 2]"
1899 Hoffenheim,1. FC Heidenheim,"[1, 1]"
FC St. Pauli,1899 Hoffenheim,"[1, 0]"
Werder Bremen,Borussia Mönchengladbach,"[2, 4]"
FSV Mainz 05,SC Freiburg,"[2, 2]"
FC Augsburg,VfL Wolfsburg,"[1, 0]"
Union Berlin,Bayern München,"[1, 1]"
RB Leipzig,Borussia Dortmund,"[2, 0]"
VfL Bochum,Eintracht Frankfurt,"[1, 3]"
1. FC Heidenheim,Holstein Kiel,"[3, 1]"
VfB Stuttgart,Bayer Leverkusen,"[3, 4]"
Bayer Leverkusen,VfL Bochum,"[3, 1]"
Bayern München,FC St. Pauli,"[3, 2]"
VfL Wolfsburg,1. FC Heidenheim,"[0, 1]"
Borussia Mönchengladbach,RB Leipzig,"[1, 0]"
1899 Hoffenheim,FC Augsburg,"[1, 1]"
Holstein Kiel,Werder Bremen,"[0, 3]"
Eintracht Frankfurt,VfB Stuttgart,"[1, 0]"
SC Freiburg,Union Berlin,"[1, 2]"
Borussia Dortmund,FSV Mainz 05,"[3, 1]"
FC Augsburg,Bayern München,"[1, 3]"
SC Freiburg,Borussia Dortmund,"[1, 4]"
FSV Mainz 05,Holstein Kiel,"[1, 1]"
RB Leipzig,1899 Hoffenheim,"[3, 1]"
VfL Bochum,VfB Stuttgart,"[0, 4]"
1. FC Heidenheim,Bayer Leverkusen,"[0, 1]"
Werder Bremen,Eintracht Frankfurt,"[2, 0]"
FC St. Pauli,Borussia Mönchengladbach,"[1, 1]"
Union Berlin,VfL Wolfsburg,"[1, 0]"
VfL Wolfsburg,RB Leipzig,"[2, 3]"
Borussia Mönchengladbach,SC Freiburg,"[1, 2]"
1899 Hoffenheim,FSV Mainz 05,"[2, 0]"
Bayer Leverkusen,Union Berlin,"[0, 0]"
VfL Bochum,FC Augsburg,"[1, 2]"
Holstein Kiel,FC St. Pauli,"[1, 2]"
Bayern München,Borussia Dortmund,"[2, 2]"
VfB Stuttgart,Werder Bremen,"[1, 2]"
Eintracht Frankfurt,1. FC Heidenheim,"[3, 0]"
SC Freiburg,1899 Hoffenheim,"[3, 2]"
Werder Bremen,VfL Bochum,"[1, 0]"
FSV Mainz 05,VfL Wolfsburg,"[2, 2]"
RB Leipzig,Holstein Kiel,"[1, 1]"
1. FC Heidenheim,Bayern München,"[0, 4]"
Union Berlin,VfB Stuttgart,"[4, 4]"
FC Augsburg,Eintracht Frankfurt,"[0, 0]"
Borussia Dortmund,Borussia Mönchengladbach,"[3, 2]"
FC St. Pauli,Bayer Leverkusen,"[1, 1]"
VfB Stuttgart,1. FC Heidenheim,"[0, 1]"
Bayern München,FSV Mainz 05,"[3, 0]"
VfL Wolfsburg,SC Freiburg,"[0, 1]"
1899 Hoffenheim,Borussia Dortmund,"[2, 3]"
Bayer Leverkusen,FC Augsburg,"[2, 0]"
Holstein Kiel,Borussia Mönchengladbach,"[4, 3]"
Eintracht Frankfurt,RB Leipzig,"[4, 0]"
VfL Bochum,Union Berlin,"[1, 1]"
Werder Bremen,FC St. Pauli,"[0, 0]"
1. FC Heidenheim,VfL Bochum,"[0, 0]"
Borussia Mönchengladbach,1899 Hoffenheim,"[4, 4]"
RB Leipzig,Bayern München,"[3, 3]"
Union Berlin,Werder Bremen,"[2, 2]"
FC St. Pauli,VfB Stuttgart,"[0, 1]"
Borussia Dortmund,VfL Wolfsburg,"[4, 0]"
FC Augsburg,Holstein Kiel,"[1, 3]"
SC Freiburg,Bayer Leverkusen,"[2, 2]"
FSV Mainz 05,Eintracht Frankfurt,"[1, 1]"
VfL Wolfsburg,1899 Hoffenheim,"[2, 2]"
Werder Bremen,RB Leipzig,"[0, 0]"
VfL Bochum,FSV Mainz 05,"[1, 4]"
Union Berlin,1. FC Heidenheim,"[0, 3]"
Holstein Kiel,SC Freiburg,"[1, 2]"
Bayern München,Borussia Mönchengladbach,"[2, 0]"
Bayer Leverkusen,Borussia Dortmund,"[2, 4]"
Eintracht Frankfurt,FC St. Pauli,"[2, 2]"
VfB Stuttgart,FC Augsburg,"[4, 0]"
SC Freiburg,Eintracht Frankfurt,"[1, 3]"
Borussia Mönchengladbach,VfL Wolfsburg,"[0, 1]"
FSV Mainz 05,Bayer Leverkusen,"[2, 2]"
Borussia Dortmund,Holstein Kiel,"[3, 0]"
1899 Hoffenheim,Bayern München,"[0, 4]"
FC Augsburg,Union Berlin,"[1, 2]"
RB Leipzig,VfB Stuttgart,"[2, 3]"
1. FC Heidenheim,Werder Bremen,"[1, 4]"
FC St. Pauli,VfL Bochum,"[0, 2]"
1. FC Heidenheim,SV Elversberg,"[2, 2]"
SV Elversberg,1. FC Heidenheim,"[1, 2]"
