home,away,ft
Gimnasia L.P.,Rosario Central,"[0, 1]"
Platense,Banfield,"[0, 1]"
Argentinos JRS,Sarmiento Junin,"[0, 0]"
Deportivo Riestra,Lanus,"[3, 1]"
Barracas Central,Talleres Cordoba,"[1, 1]"
Belgrano Cordoba,Union Santa Fe,"[1, 1]"
Racing Club,Gimnasia L.P.,"[0, 1]"
San Lorenzo,Atletico Tucuman,"[0, 1]"
Rosario Central,Newells Old Boys,"[1, 0]"
Independ. Rivadavia,Boca Juniors,"[1, 1]"
River Plate,Huracan,"[1, 1]"
Instituto Cordoba,Platense,"[2, 0]"
Central Cordoba de Santiago,Defensa Y Justicia,"[2, 0]"
Banfield,Velez Sarsfield,"[2, 2]"
Estudiantes L.P.,Independiente,"[0, 2]"
Tigre,Godoy Cruz,"[0, 2]"
Platense,Barracas Central,"[0, 0]"
Newells Old Boys,Racing Club,"[0, 1]"
Lanus,Central Cordoba de Santiago,"[1, 1]"
Independiente,Rosario Central,"[1, 0]"
Gimnasia L.P.,River Plate,"[1, 1]"
Velez Sarsfield,Instituto Cordoba,"[1, 0]"
Talleres Cordoba,Independ. Rivadavia,"[2, 1]"
Boca Juniors,San Lorenzo,"[3, 2]"
Atletico Tucuman,Estudiantes L.P.,"[2, 0]"
Sarmiento Junin,Tigre,"[0, 0]"
Huracan,Belgrano Cordoba,"[1, 0]"
Godoy Cruz,Deportivo Riestra,"[4, 1]"
Union Santa Fe,Argentinos JRS,"[3, 0]"
Defensa Y Justicia,Banfield,"[1, 0]"
Independ. Rivadavia,Platense,"[0, 2]"
Deportivo Riestra,Sarmiento Junin,"[2, 1]"
Argentinos JRS,Huracan,"[0, 0]"
Instituto Cordoba,Defensa Y Justicia,"[4, 1]"
Tigre,Union Santa Fe,"[5, 1]"
Lanus,Godoy Cruz,"[1, 1]"
San Lorenzo,Talleres Cordoba,"[2, 0]"
Racing Club,Independiente,"[0, 0]"
River Plate,Newells Old Boys,"[0, 0]"
Central Cordoba de Santiago,Banfield,"[0, 0]"
Barracas Central,Velez Sarsfield,"[0, 5]"
Rosario Central,Atletico Tucuman,"[1, 0]"
Belgrano Cordoba,Gimnasia L.P.,"[0, 1]"
Estudiantes L.P.,Boca Juniors,"[1, 1]"
Sarmiento Junin,Lanus,"[0, 0]"
Union Santa Fe,Deportivo Riestra,"[0, 0]"
Defensa Y Justicia,Barracas Central,"[1, 0]"
Newells Old Boys,Belgrano Cordoba,"[0, 0]"
Velez Sarsfield,Independ. Rivadavia,"[4, 0]"
Talleres Cordoba,Estudiantes L.P.,"[1, 0]"
Boca Juniors,Rosario Central,"[2, 1]"
Huracan,Tigre,"[0, 2]"
Platense,San Lorenzo,"[1, 2]"
Independiente,River Plate,"[0, 0]"
Atletico Tucuman,Racing Club,"[1, 0]"
