home,away,ft
Utah Grizzlies,Tahoe Knight Monsters,"[6, 4]"
Atlanta Gladiators,Greenville Swamp Rabbits,"[1, 2]"
Kalamazoo Wings,Toledo Walleye,"[3, 5]"
Reading Royals,Indy Fuel,"[0, 3]"
Savannah Ghost Pirates,Idaho Steelheads,"[2, 4]"
Wichita Thunder,Tulsa Oilers,"[3, 5]"
Utah Grizzlies,Tahoe Knight Monsters,"[2, 6]"
Orlando Solar Bears,Florida Everblades,"[0, 1]"
Wheeling Nailers,Fort Wayne Komets,"[3, 1]"
Kansas City,Iowa Heartlanders,"[3, 5]"
Worcester Railers,South Carolina Stingrays,"[1, 4]"
Greenville Swamp Rabbits,Savannah Ghost Pirates,"[4, 3]"
Toledo Walleye,Indy Fuel,"[1, 4]"
Allen Americans,Utah Grizzlies,"[3, 1]"
Idaho Steelheads,Rapid City Rush,"[2, 5]"
Tahoe Knight Monsters,Tulsa Oilers,"[4, 0]"
Atlanta Gladiators,Florida Everblades,"[2, 5]"
Jacksonville IceMen,Orlando Solar Bears,"[3, 5]"
Trois-Rivieres Lions,Maine Mariners,"[4, 1]"
Jacksonville IceMen,Atlanta Gladiators,"[4, 2]"
Adirondack Thunder,Reading Royals,"[3, 1]"
Kalamazoo Wings,Fort Wayne Komets,"[4, 1]"
Norfolk Admirals,Toledo Walleye,"[1, 5]"
Worcester Railers,South Carolina Stingrays,"[1, 8]"
Cincinnati Cyclones,Bloomington Bison,"[2, 1]"
Iowa Heartlanders,Wichita Thunder,"[4, 2]"
Tahoe Knight Monsters,Tulsa Oilers,"[1, 4]"
Greenville Swamp Rabbits,Florida Everblades,"[0, 8]"
Maine Mariners,South Carolina Stingrays,"[1, 6]"
Iowa Heartlanders,Wichita Thunder,"[3, 2]"
Kalamazoo Wings,Fort Wayne Komets,"[3, 5]"
Jacksonville IceMen,Savannah Ghost Pirates,"[4, 1]"
Adirondack Thunder,Reading Royals,"[4, 2]"
Norfolk Admirals,Toledo Walleye,"[2, 6]"
Wheeling Nailers,Indy Fuel,"[5, 2]"
Bloomington Bison,Cincinnati Cyclones,"[5, 2]"
Idaho Steelheads,Rapid City Rush,"[0, 1]"
Adirondack Thunder,Reading Royals,"[1, 7]"
Maine Mariners,South Carolina Stingrays,"[1, 5]"
Trois-Rivieres Lions,Worcester Railers,"[3, 1]"
Orlando Solar Bears,Savannah Ghost Pirates,"[2, 3]"
Greenville Swamp Rabbits,Florida Everblades,"[3, 2]"
Fort Wayne Komets,Cincinnati Cyclones,"[6, 1]"
Kansas City,Wichita Thunder,"[2, 0]"
Orlando Solar Bears,Atlanta Gladiators,"[0, 4]"
Tahoe Knight Monsters,Kansas City,"[4, 1]"
Jacksonville IceMen,Adirondack Thunder,"[5, 0]"
Maine Mariners,Worcester Railers,"[5, 2]"
Norfolk Admirals,Reading Royals,"[5, 2]"
Florida Everblades,Kalamazoo Wings,"[4, 2]"
Wichita Thunder,Utah Grizzlies,"[5, 2]"
Savannah Ghost Pirates,Adirondack Thunder,"[6, 3]"
Tulsa Oilers,Allen Americans,"[1, 4]"
Wichita Thunder,Utah Grizzlies,"[4, 1]"
Greenville Swamp Rabbits,South Carolina Stingrays,"[3, 2]"
Toledo Walleye,Orlando Solar Bears,"[5, 2]"
Bloomington Bison,Indy Fuel,"[0, 2]"
Wichita Thunder,Utah Grizzlies,"[4, 2]"
Rapid City Rush,Idaho Steelheads,"[5, 6]"
South Carolina Stingrays,Adirondack Thunder,"[5, 2]"
Worcester Railers,Trois-Rivieres Lions,"[2, 5]"
Florida Everblades,Kalamazoo Wings,"[5, 0]"
Reading Royals,Maine Mariners,"[2, 3]"
Savannah Ghost Pirates,Greenville Swamp Rabbits,"[4, 5]"
Toledo Walleye,Orlando Solar Bears,"[2, 4]"
Fort Wayne Komets,Wheeling Nailers,"[4, 6]"
Bloomington Bison,Iowa Heartlanders,"[4, 1]"
Rapid City Rush,Idaho Steelheads,"[1, 4]"
Tahoe Knight Monsters,Kansas City,"[1, 2]"
Greenville Swamp Rabbits,Jacksonville IceMen,"[5, 0]"
South Carolina Stingrays,Adirondack Thunder,"[1, 5]"
Tulsa Oilers,Utah Grizzlies,"[5, 0]"
Orlando Solar Bears,Savannah Ghost Pirates,"[5, 2]"
Adirondack Thunder,Trois-Rivieres Lions,"[1, 3]"
Jacksonville IceMen,South Carolina Stingrays,"[1, 4]"
Norfolk Admirals,Maine Mariners,"[4, 3]"
Wichita Thunder,Worcester Railers,"[0, 1]"
Wheeling Nailers,Toledo Walleye,"[4, 1]"
Cincinnati Cyclones,Kalamazoo Wings,"[5, 0]"
Bloomington Bison,Iowa Heartlanders,"[3, 1]"
Tulsa Oilers,Kansas City,"[3, 2]"
Rapid City Rush,Allen Americans,"[2, 1]"
Idaho Steelheads,Tahoe Knight Monsters,"[3, 7]"
Utah Grizzlies,Indy Fuel,"[2, 4]"
Cincinnati Cyclones,Wheeling Nailers,"[1, 5]"
Adirondack Thunder,Reading Royals,"[1, 3]"
South Carolina Stingrays,Greenville Swamp Rabbits,"[5, 2]"
Toledo Walleye,Kalamazoo Wings,"[3, 2]"
Atlanta Gladiators,Savannah Ghost Pirates,"[6, 3]"
Tulsa Oilers,Kansas City,"[0, 3]"
Wichita Thunder,Worcester Railers,"[2, 3]"
Idaho Steelheads,Tahoe Knight Monsters,"[6, 2]"
Adirondack Thunder,Reading Royals,"[3, 2]"
Atlanta Gladiators,Savannah Ghost Pirates,"[3, 6]"
Iowa Heartlanders,Bloomington Bison,"[3, 1]"
Jacksonville IceMen,Greenville Swamp Rabbits,"[4, 1]"
Kalamazoo Wings,Toledo Walleye,"[1, 5]"
Kansas City,Tulsa Oilers,"[2, 4]"
Norfolk Admirals,Maine Mariners,"[4, 1]"
Wichita Thunder,Worcester Railers,"[6, 2]"
Wheeling Nailers,Cincinnati Cyclones,"[7, 1]"
Fort Wayne Komets,Florida Everblades,"[1, 3]"
Rapid City Rush,Allen Americans,"[1, 2]"
Utah Grizzlies,Indy Fuel,"[1, 4]"
Idaho Steelheads,Tahoe Knight Monsters,"[5, 2]"
Orlando Solar Bears,South Carolina Stingrays,"[1, 5]"
Wichita Thunder,Kansas City,"[1, 4]"
Iowa Heartlanders,Bloomington Bison,"[5, 0]"
Jacksonville IceMen,Orlando Solar Bears,"[3, 1]"
Adirondack Thunder,Worcester Railers,"[7, 4]"
Cincinnati Cyclones,Fort Wayne Komets,"[1, 2]"
Allen Americans,Tahoe Knight Monsters,"[3, 4]"
Utah Grizzlies,Kansas City,"[2, 3]"
Jacksonville IceMen,Florida Everblades,"[2, 3]"
Wichita Thunder,Allen Americans,"[4, 2]"
Jacksonville IceMen,Florida Everblades,"[4, 2]"
Trois-Rivieres Lions,Idaho Steelheads,"[2, 0]"
Indy Fuel,Iowa Heartlanders,"[3, 4]"
Adirondack Thunder,Norfolk Admirals,"[1, 6]"
South Carolina Stingrays,Rapid City Rush,"[5, 3]"
Wheeling Nailers,Kalamazoo Wings,"[4, 2]"
Toledo Walleye,Bloomington Bison,"[8, 1]"
Savannah Ghost Pirates,Atlanta Gladiators,"[7, 1]"
Fort Wayne Komets,Cincinnati Cyclones,"[1, 5]"
Utah Grizzlies,Kansas City,"[1, 6]"
Trois-Rivieres Lions,Idaho Steelheads,"[6, 3]"
Cincinnati Cyclones,Wheeling Nailers,"[0, 3]"
Worcester Railers,Maine Mariners,"[3, 4]"
South Carolina Stingrays,Rapid City Rush,"[3, 1]"
Florida Everblades,Jacksonville IceMen,"[4, 1]"
Greenville Swamp Rabbits,Atlanta Gladiators,"[0, 1]"
Fort Wayne Komets,Kalamazoo Wings,"[2, 3]"
Tulsa Oilers,Tahoe Knight Monsters,"[2, 7]"
Utah Grizzlies,Kansas City,"[3, 10]"
Atlanta Gladiators,Greenville Swamp Rabbits,"[2, 3]"
Maine Mariners,Trois-Rivieres Lions,"[2, 4]"
South Carolina Stingrays,Rapid City Rush,"[8, 1]"
Tulsa Oilers,Tahoe Knight Monsters,"[3, 5]"
Wheeling Nailers,Reading Royals,"[6, 2]"
Iowa Heartlanders,Toledo Walleye,"[2, 0]"
Atlanta Gladiators,South Carolina Stingrays,"[4, 3]"
Jacksonville IceMen,Greenville Swamp Rabbits,"[3, 1]"
Worcester Railers,Reading Royals,"[2, 5]"
Florida Everblades,Orlando Solar Bears,"[2, 3]"
Kansas City,Savannah Ghost Pirates,"[3, 1]"
Idaho Steelheads,Tulsa Oilers,"[6, 4]"
Tahoe Knight Monsters,Utah Grizzlies,"[8, 2]"
Adirondack Thunder,Maine Mariners,"[2, 5]"
Indy Fuel,Allen Americans,"[6, 0]"
Orlando Solar Bears,Florida Everblades,"[1, 4]"
Reading Royals,Wheeling Nailers,"[1, 4]"
Norfolk Admirals,Cincinnati Cyclones,"[6, 1]"
Worcester Railers,Trois-Rivieres Lions,"[3, 5]"
Atlanta Gladiators,Jacksonville IceMen,"[3, 0]"
Bloomington Bison,Fort Wayne Komets,"[1, 2]"
Iowa Heartlanders,Toledo Walleye,"[3, 6]"
Kansas City,Savannah Ghost Pirates,"[4, 2]"
Rapid City Rush,Wichita Thunder,"[2, 9]"
Adirondack Thunder,Maine Mariners,"[1, 3]"
Reading Royals,Wheeling Nailers,"[1, 4]"
Greenville Swamp Rabbits,Atlanta Gladiators,"[3, 5]"
Norfolk Admirals,Cincinnati Cyclones,"[5, 2]"
Fort Wayne Komets,Allen Americans,"[8, 2]"
