home,away,ft
Madison Capitols,Sioux City,"[7, 6]"
Omaha Lancers,Youngstown Phantoms,"[1, 3]"
Waterloo Black Hawks,Lincoln Stars,"[3, 1]"
Muskegon Lumberjacks,Sioux Falls Stampede,"[1, 2]"
USA U18,Green Bay Gamblers,"[3, 6]"
Omaha Lancers,Youngstown Phantoms,"[2, 4]"
Tri-City Storm,Fargo Force,"[3, 5]"
Madison Capitols,Sioux City,"[4, 2]"
Dubuque Fighting Saints,Des Moines Buccaneers,"[4, 5]"
Cedar Rapids,Chicago Steel,"[4, 3]"
USA U18,Youngstown Phantoms,"[4, 5]"
Green Bay Gamblers,Chicago Steel,"[5, 1]"
Lincoln Stars,Tri-City Storm,"[5, 0]"
Sioux City,Fargo Force,"[3, 2]"
Waterloo Black Hawks,Cedar Rapids,"[1, 3]"
USA U18,Des Moines Buccaneers,"[2, 3]"
Muskegon Lumberjacks,Dubuque Fighting Saints,"[1, 3]"
Fargo Force,Omaha Lancers,"[3, 1]"
Green Bay Gamblers,Tri-City Storm,"[4, 6]"
Youngstown Phantoms,Des Moines Buccaneers,"[3, 0]"
Muskegon Lumberjacks,Dubuque Fighting Saints,"[4, 3]"
Sioux Falls Stampede,Omaha Lancers,"[4, 1]"
Chicago Steel,Madison Capitols,"[4, 2]"
Lincoln Stars,Sioux City,"[4, 3]"
Green Bay Gamblers,Tri-City Storm,"[2, 5]"
Cedar Rapids,Waterloo Black Hawks,"[2, 1]"
Des Moines Buccaneers,Green Bay Gamblers,"[5, 1]"
Green Bay Gamblers,Des Moines Buccaneers,"[2, 5]"
USA U18,Cedar Rapids,"[2, 0]"
Muskegon Lumberjacks,Youngstown Phantoms,"[4, 3]"
Fargo Force,Lincoln Stars,"[3, 2]"
Madison Capitols,Chicago Steel,"[5, 2]"
Muskegon Lumberjacks,Youngstown Phantoms,"[5, 3]"
USA U18,Cedar Rapids,"[4, 1]"
Fargo Force,Lincoln Stars,"[5, 3]"
Tri-City Storm,Sioux Falls Stampede,"[2, 5]"
Chicago Steel,Madison Capitols,"[2, 3]"
Muskegon Lumberjacks,Des Moines Buccaneers,"[3, 0]"
Waterloo Black Hawks,Sioux City,"[6, 2]"
USA U18,Muskegon Lumberjacks,"[3, 1]"
Green Bay Gamblers,Youngstown Phantoms,"[5, 2]"
Lincoln Stars,Sioux City,"[2, 5]"
Des Moines Buccaneers,Dubuque Fighting Saints,"[4, 1]"
