home,away,ft
Memphis Redbirds,Nashville Sounds,"[6, 0]"
Syracuse Mets,Worcester,"[4, 2]"
Norfolk Tides,Scranton/WB,"[4, 6]"
Louisville Bats,Columbus Clippers,"[2, 0]"
Toledo Mud Hens,Indianapolis Indians,"[4, 3]"
Lehigh Valley IronPigs,Durham Bulls,"[9, 4]"
Jacksonville Jumbo Shrimp,Charlotte Knights,"[7, 5]"
Omaha Storm Chasers,Gwinnett Stripers,"[6, 7]"
St. Paul,Iowa Cubs,"[0, 6]"
Memphis Redbirds,Nashville Sounds,"[0, 9]"
Buffalo Bisons,Rochester Red Wings,"[2, 8]"
Toledo Mud Hens,Indianapolis Indians,"[3, 2]"
Omaha Storm Chasers,Gwinnett Stripers,"[13, 6]"
St. Paul,Iowa Cubs,"[3, 4]"
Buffalo Bisons,Rochester Red Wings,"[5, 6]"
Memphis Redbirds,Nashville Sounds,"[8, 3]"
Toledo Mud Hens,Indianapolis Indians,"[13, 4]"
Norfolk Tides,Scranton/WB,"[0, 3]"
Lehigh Valley IronPigs,Durham Bulls,"[6, 1]"
Jacksonville Jumbo Shrimp,Charlotte Knights,"[2, 11]"
Louisville Bats,Columbus Clippers,"[5, 7]"
Syracuse Mets,Worcester,"[10, 5]"
Buffalo Bisons,Rochester Red Wings,"[17, 0]"
Norfolk Tides,Scranton/WB,"[5, 6]"
Louisville Bats,Columbus Clippers,"[3, 2]"
Lehigh Valley IronPigs,Durham Bulls,"[9, 12]"
Toledo Mud Hens,Indianapolis Indians,"[16, 6]"
Memphis Redbirds,Nashville Sounds,"[4, 8]"
Omaha Storm Chasers,Gwinnett Stripers,"[6, 1]"
Syracuse Mets,Worcester,"[4, 8]"
Jacksonville Jumbo Shrimp,Charlotte Knights,"[4, 9]"
St. Paul,Iowa Cubs,"[13, 11]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[4, 3]"
Worcester,Durham Bulls,"[7, 4]"
Rochester Red Wings,Toledo Mud Hens,"[2, 0]"
Indianapolis Indians,St. Paul,"[10, 6]"
Charlotte Knights,Syracuse Mets,"[2, 9]"
Columbus Clippers,Buffalo Bisons,"[7, 4]"
Scranton/WB,Lehigh Valley IronPigs,"[1, 7]"
Gwinnett Stripers,Memphis Redbirds,"[6, 5]"
Nashville Sounds,Omaha Storm Chasers,"[9, 10]"
Iowa Cubs,Louisville Bats,"[8, 7]"
Charlotte Knights,Syracuse Mets,"[4, 2]"
Indianapolis Indians,St. Paul,"[1, 0]"
Gwinnett Stripers,Memphis Redbirds,"[2, 1]"
Columbus Clippers,Buffalo Bisons,"[9, 12]"
Iowa Cubs,Louisville Bats,"[4, 3]"
Worcester,Durham Bulls,"[6, 2]"
Scranton/WB,Lehigh Valley IronPigs,"[5, 4]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[16, 4]"
Nashville Sounds,Omaha Storm Chasers,"[6, 5]"
Rochester Red Wings,Toledo Mud Hens,"[6, 5]"
Rochester Red Wings,Toledo Mud Hens,"[3, 7]"
Columbus Clippers,Buffalo Bisons,"[7, 8]"
Scranton/WB,Lehigh Valley IronPigs,"[8, 4]"
Indianapolis Indians,St. Paul,"[6, 5]"
Charlotte Knights,Syracuse Mets,"[5, 4]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[3, 1]"
Gwinnett Stripers,Memphis Redbirds,"[1, 3]"
Nashville Sounds,Omaha Storm Chasers,"[9, 1]"
Iowa Cubs,Louisville Bats,"[6, 9]"
Worcester,Durham Bulls,"[12, 5]"
Rochester Red Wings,Toledo Mud Hens,"[4, 1]"
Columbus Clippers,Buffalo Bisons,"[9, 3]"
