home,away,ft
KIA Tigers,LG Twins,"[8, 4]"
Doosan Bears,Hanwha Eagles,"[0, 3]"
Doosan Bears,LG Twins,"[1, 2]"
Hanwha Eagles,KIA Tigers,"[4, 8]"
Kiwoom Heroes,Lotte Giants,"[9, 4]"
KT Wiz Suwon,SSG Landers,"[8, 3]"
Samsung Lions,NC Dinos,"[3, 8]"
Hanwha Eagles,KIA Tigers,"[9, 11]"
Doosan Bears,LG Twins,"[5, 2]"
Kiwoom Heroes,Lotte Giants,"[8, 1]"
KT Wiz Suwon,SSG Landers,"[8, 11]"
Samsung Lions,NC Dinos,"[3, 4]"
KT Wiz Suwon,SSG Landers,"[1, 8]"
Samsung Lions,NC Dinos,"[12, 5]"
Doosan Bears,LG Twins,"[9, 5]"
Kiwoom Heroes,Lotte Giants,"[7, 5]"
Hanwha Eagles,KIA Tigers,"[2, 5]"
Kiwoom Heroes,KT Wiz Suwon,"[6, 3]"
LG Twins,Lotte Giants,"[7, 2]"
NC Dinos,Hanwha Eagles,"[4, 7]"
Samsung Lions,Doosan Bears,"[7, 5]"
SSG Landers,KIA Tigers,"[6, 4]"
Samsung Lions,Doosan Bears,"[9, 2]"
SSG Landers,KIA Tigers,"[3, 11]"
Kiwoom Heroes,KT Wiz Suwon,"[4, 6]"
NC Dinos,Hanwha Eagles,"[4, 3]"
LG Twins,Lotte Giants,"[6, 5]"
Kiwoom Heroes,KT Wiz Suwon,"[0, 3]"
LG Twins,Lotte Giants,"[2, 9]"
Samsung Lions,Doosan Bears,"[5, 2]"
SSG Landers,KIA Tigers,"[7, 5]"
SSG Landers,LG Twins,"[1, 4]"
Lotte Giants,KT Wiz Suwon,"[4, 3]"
KIA Tigers,NC Dinos,"[4, 3]"
Hanwha Eagles,Samsung Lions,"[6, 1]"
Doosan Bears,Kiwoom Heroes,"[19, 8]"
Hanwha Eagles,Samsung Lions,"[0, 1]"
KIA Tigers,NC Dinos,"[9, 2]"
SSG Landers,LG Twins,"[8, 10]"
Lotte Giants,KT Wiz Suwon,"[9, 9]"
Hanwha Eagles,Samsung Lions,"[3, 5]"
KIA Tigers,NC Dinos,"[4, 15]"
Doosan Bears,Kiwoom Heroes,"[4, 8]"
Doosan Bears,Kiwoom Heroes,"[2, 1]"
Lotte Giants,KT Wiz Suwon,"[7, 5]"
SSG Landers,LG Twins,"[5, 5]"
Doosan Bears,NC Dinos,"[4, 3]"
Samsung Lions,LG Twins,"[7, 3]"
Kiwoom Heroes,KIA Tigers,"[2, 5]"
KT Wiz Suwon,Hanwha Eagles,"[9, 6]"
Doosan Bears,NC Dinos,"[1, 3]"
Kiwoom Heroes,KIA Tigers,"[4, 6]"
KT Wiz Suwon,Hanwha Eagles,"[7, 1]"
Lotte Giants,SSG Landers,"[7, 12]"
Samsung Lions,LG Twins,"[6, 0]"
Doosan Bears,NC Dinos,"[7, 3]"
Kiwoom Heroes,KIA Tigers,"[2, 13]"
KT Wiz Suwon,Hanwha Eagles,"[9, 0]"
Lotte Giants,SSG Landers,"[6, 3]"
Samsung Lions,LG Twins,"[2, 8]"
LG Twins,KIA Tigers,"[7, 6]"
SSG Landers,KT Wiz Suwon,"[5, 2]"
Kiwoom Heroes,Samsung Lions,"[0, 3]"
NC Dinos,Lotte Giants,"[4, 0]"
Hanwha Eagles,Doosan Bears,"[5, 10]"
LG Twins,KIA Tigers,"[6, 3]"
Hanwha Eagles,Doosan Bears,"[10, 5]"
Kiwoom Heroes,Samsung Lions,"[0, 11]"
NC Dinos,Lotte Giants,"[2, 0]"
SSG Landers,KT Wiz Suwon,"[2, 5]"
SSG Landers,KT Wiz Suwon,"[11, 6]"
NC Dinos,Lotte Giants,"[5, 3]"
LG Twins,KIA Tigers,"[7, 10]"
Hanwha Eagles,Doosan Bears,"[8, 17]"
Kiwoom Heroes,Samsung Lions,"[6, 11]"
Doosan Bears,Samsung Lions,"[4, 0]"
Hanwha Eagles,SSG Landers,"[8, 2]"
KIA Tigers,KT Wiz Suwon,"[4, 11]"
Lotte Giants,Kiwoom Heroes,"[7, 9]"
NC Dinos,LG Twins,"[8, 0]"
Lotte Giants,Kiwoom Heroes,"[3, 6]"
NC Dinos,LG Twins,"[1, 10]"
KIA Tigers,KT Wiz Suwon,"[9, 1]"
Hanwha Eagles,SSG Landers,"[7, 8]"
Doosan Bears,Samsung Lions,"[2, 9]"
Lotte Giants,Kiwoom Heroes,"[6, 5]"
NC Dinos,LG Twins,"[4, 5]"
Doosan Bears,Samsung Lions,"[2, 4]"
Hanwha Eagles,SSG Landers,"[3, 4]"
KIA Tigers,KT Wiz Suwon,"[5, 12]"
KIA Tigers,Hanwha Eagles,"[2, 4]"
KT Wiz Suwon,Kiwoom Heroes,"[2, 1]"
LG Twins,Doosan Bears,"[4, 6]"
Samsung Lions,Lotte Giants,"[7, 8]"
SSG Landers,NC Dinos,"[5, 19]"
LG Twins,Doosan Bears,"[2, 3]"
KIA Tigers,Hanwha Eagles,"[10, 2]"
KT Wiz Suwon,Kiwoom Heroes,"[6, 2]"
Samsung Lions,Lotte Giants,"[2, 9]"
SSG Landers,NC Dinos,"[6, 8]"
LG Twins,SSG Landers,"[2, 4]"
Kiwoom Heroes,Doosan Bears,"[4, 13]"
Lotte Giants,Hanwha Eagles,"[6, 1]"
Samsung Lions,KIA Tigers,"[2, 4]"
LG Twins,SSG Landers,"[8, 5]"
KT Wiz Suwon,NC Dinos,"[7, 6]"
Kiwoom Heroes,Doosan Bears,"[1, 6]"
Kiwoom Heroes,Doosan Bears,"[2, 5]"
KT Wiz Suwon,NC Dinos,"[6, 2]"
Lotte Giants,Hanwha Eagles,"[18, 5]"
Samsung Lions,KIA Tigers,"[5, 2]"
LG Twins,SSG Landers,"[3, 1]"
Doosan Bears,KT Wiz Suwon,"[7, 3]"
Hanwha Eagles,Kiwoom Heroes,"[5, 4]"
KIA Tigers,SSG Landers,"[2, 4]"
Lotte Giants,LG Twins,"[1, 9]"
NC Dinos,Samsung Lions,"[10, 3]"
Hanwha Eagles,Kiwoom Heroes,"[1, 7]"
Lotte Giants,LG Twins,"[1, 2]"
NC Dinos,Samsung Lions,"[2, 3]"
Lotte Giants,LG Twins,"[4, 6]"
NC Dinos,Samsung Lions,"[2, 7]"
Doosan Bears,KT Wiz Suwon,"[12, 4]"
KIA Tigers,SSG Landers,"[3, 2]"
Hanwha Eagles,Kiwoom Heroes,"[8, 3]"
KIA Tigers,SSG Landers,"[6, 10]"
Doosan Bears,KT Wiz Suwon,"[8, 4]"
Hanwha Eagles,NC Dinos,"[5, 5]"
KIA Tigers,Doosan Bears,"[5, 8]"
LG Twins,Kiwoom Heroes,"[0, 5]"
SSG Landers,Samsung Lions,"[9, 2]"
KT Wiz Suwon,Lotte Giants,"[7, 4]"
