home,away,ft
Abbotsford Canucks,Tucson Roadrunners,"[2, 5]"
San Jose Barracuda,Coachella Valley Firebirds,"[5, 1]"
Calgary Wranglers,San Diego Gulls,"[6, 2]"
Utica Comets,Rochester Americans,"[1, 8]"
Laval Rocket,Providence Bruins,"[2, 1]"
Grand Rapids Griffins,Rockford IceHogs,"[1, 4]"
Springfield Thunderbirds,Bridgeport Islanders,"[1, 4]"
Manitoba Moose,Milwaukee Admirals,"[2, 4]"
Colorado Eagles,Texas Stars,"[5, 3]"
Bakersfield Condors,Coachella Valley Firebirds,"[5, 3]"
Henderson Silver Knights,Ontario Reign,"[1, 4]"
Laval Rocket,Providence Bruins,"[6, 3]"
Wilkes-Barre/Scranton,Hartford Wolf Pack,"[2, 1]"
Syracuse Crunch,Belleville Senators,"[2, 6]"
Iowa Wild,San Jose Barracuda,"[4, 1]"
Manitoba Moose,Milwaukee Admirals,"[1, 4]"
Hershey Bears,Charlotte Checkers,"[2, 4]"
Cleveland Monsters,Toronto Marlies,"[4, 2]"
Springfield Thunderbirds,Lehigh Valley Phantoms,"[2, 5]"
Rockford IceHogs,Chicago Wolves,"[2, 3]"
Ontario Reign,Henderson Silver Knights,"[8, 3]"
San Diego Gulls,Abbotsford Canucks,"[1, 3]"
Colorado Eagles,Texas Stars,"[5, 1]"
Bakersfield Condors,Coachella Valley Firebirds,"[2, 5]"
Iowa Wild,San Jose Barracuda,"[5, 2]"
Cleveland Monsters,Grand Rapids Griffins,"[3, 1]"
San Diego Gulls,Abbotsford Canucks,"[6, 4]"
Calgary Wranglers,Bakersfield Condors,"[1, 2]"
Colorado Eagles,Coachella Valley Firebirds,"[5, 0]"
Springfield Thunderbirds,Bridgeport Islanders,"[5, 3]"
Cleveland Monsters,Rochester Americans,"[2, 4]"
Calgary Wranglers,Bakersfield Condors,"[4, 0]"
Colorado Eagles,Coachella Valley Firebirds,"[2, 3]"
Ontario Reign,Abbotsford Canucks,"[8, 4]"
Iowa Wild,Grand Rapids Griffins,"[2, 5]"
Lehigh Valley Phantoms,Wilkes-Barre/Scranton,"[5, 3]"
Providence Bruins,Bridgeport Islanders,"[3, 2]"
Rochester Americans,Hartford Wolf Pack,"[6, 3]"
Rockford IceHogs,Grand Rapids Griffins,"[2, 4]"
Ontario Reign,Coachella Valley Firebirds,"[3, 4]"
Charlotte Checkers,Toronto Marlies,"[3, 4]"
Wilkes-Barre/Scranton,Rochester Americans,"[5, 0]"
Belleville Senators,Laval Rocket,"[3, 2]"
Bridgeport Islanders,Providence Bruins,"[4, 8]"
Hershey Bears,Springfield Thunderbirds,"[3, 2]"
Milwaukee Admirals,Chicago Wolves,"[1, 2]"
Syracuse Crunch,Cleveland Monsters,"[2, 5]"
Calgary Wranglers,Henderson Silver Knights,"[3, 8]"
Rockford IceHogs,Iowa Wild,"[3, 6]"
Texas Stars,Manitoba Moose,"[5, 2]"
San Jose Barracuda,Colorado Eagles,"[2, 3]"
Tucson Roadrunners,San Diego Gulls,"[5, 2]"
Abbotsford Canucks,Bakersfield Condors,"[1, 3]"
Calgary Wranglers,Henderson Silver Knights,"[4, 0]"
