home,away,ft
Quad City Storm,Fayetteville Marksmen,"[7, 2]"
Fayetteville Marksmen,Knoxville Ice Bears,"[2, 0]"
Macon Mayhem,Pensacola Ice Flyers,"[1, 3]"
Quad City Storm,Roanoke Dawgs,"[4, 3]"
Macon Mayhem,Pensacola Ice Flyers,"[5, 1]"
Birmingham Bulls,Evansville Thunderbolts,"[2, 3]"
Quad City Storm,Roanoke Dawgs,"[5, 2]"
Pensacola Ice Flyers,Macon Mayhem,"[2, 3]"
Roanoke Dawgs,Macon Mayhem,"[11, 1]"
Peoria Rivermen,Evansville Thunderbolts,"[3, 4]"
Roanoke Dawgs,Birmingham Bulls,"[2, 1]"
Huntsville Havoc,Macon Mayhem,"[2, 1]"
Pensacola Ice Flyers,Fayetteville Marksmen,"[7, 1]"
Quad City Storm,Knoxville Ice Bears,"[4, 2]"
Peoria Rivermen,Evansville Thunderbolts,"[3, 1]"
Pensacola Ice Flyers,Fayetteville Marksmen,"[6, 3]"
Birmingham Bulls,Huntsville Havoc,"[2, 1]"
Macon Mayhem,Quad City Storm,"[4, 0]"
Roanoke Dawgs,Fayetteville Marksmen,"[5, 0]"
Evansville Thunderbolts,Pensacola Ice Flyers,"[2, 1]"
Peoria Rivermen,Birmingham Bulls,"[3, 2]"
Fayetteville Marksmen,Roanoke Dawgs,"[4, 3]"
Macon Mayhem,Quad City Storm,"[2, 1]"
Knoxville Ice Bears,Huntsville Havoc,"[2, 7]"
Evansville Thunderbolts,Pensacola Ice Flyers,"[2, 4]"
Peoria Rivermen,Birmingham Bulls,"[4, 2]"
Fayetteville Marksmen,Macon Mayhem,"[4, 1]"
Peoria Rivermen,Birmingham Bulls,"[4, 1]"
Huntsville Havoc,Pensacola Ice Flyers,"[4, 6]"
Knoxville Ice Bears,Peoria Rivermen,"[1, 5]"
Huntsville Havoc,Quad City Storm,"[4, 1]"
Birmingham Bulls,Fayetteville Marksmen,"[4, 1]"
Macon Mayhem,Evansville Thunderbolts,"[2, 5]"
Knoxville Ice Bears,Peoria Rivermen,"[4, 6]"
Huntsville Havoc,Quad City Storm,"[8, 1]"
Birmingham Bulls,Fayetteville Marksmen,"[3, 5]"
Macon Mayhem,Roanoke Dawgs,"[4, 1]"
Roanoke Dawgs,Huntsville Havoc,"[5, 3]"
Roanoke Dawgs,Knoxville Ice Bears,"[9, 2]"
Pensacola Ice Flyers,Macon Mayhem,"[2, 3]"
Evansville Thunderbolts,Peoria Rivermen,"[0, 3]"
Quad City Storm,Birmingham Bulls,"[6, 2]"
Roanoke Dawgs,Knoxville Ice Bears,"[4, 1]"
Pensacola Ice Flyers,Macon Mayhem,"[3, 5]"
Quad City Storm,Birmingham Bulls,"[0, 2]"
Peoria Rivermen,Evansville Thunderbolts,"[6, 3]"
Evansville Thunderbolts,Quad City Storm,"[3, 2]"
Knoxville Ice Bears,Roanoke Dawgs,"[2, 3]"
Evansville Thunderbolts,Peoria Rivermen,"[4, 2]"
Birmingham Bulls,Huntsville Havoc,"[7, 2]"
Roanoke Dawgs,Knoxville Ice Bears,"[4, 1]"
Fayetteville Marksmen,Birmingham Bulls,"[2, 5]"
Macon Mayhem,Roanoke Dawgs,"[1, 3]"
Huntsville Havoc,Knoxville Ice Bears,"[4, 2]"
Pensacola Ice Flyers,Evansville Thunderbolts,"[3, 4]"
Peoria Rivermen,Quad City Storm,"[7, 3]"
Macon Mayhem,Roanoke Dawgs,"[1, 3]"
