home,away,ft
Monaco,Paris Saint Germain,"[2, 4]"
Nice,Rennes,"[3, 2]"
Saint Etienne,Reims,"[3, 1]"
Lille,Nantes,"[1, 1]"
Lyon,Montpellier,"[1, 0]"
Angers,Stade Brestois 29,"[2, 0]"
Strasbourg,Auxerre,"[3, 1]"
Lens,Toulouse,"[0, 1]"
Marseille,Le Havre,"[5, 1]"
Nantes,Monaco,"[2, 2]"
Auxerre,Lille,"[0, 0]"
Stade Brestois 29,Lyon,"[2, 1]"
Reims,Nice,"[2, 4]"
Rennes,Marseille,"[1, 2]"
Le Havre,Lens,"[1, 2]"
Montpellier,Angers,"[1, 3]"
Toulouse,Strasbourg,"[1, 2]"
Paris Saint Germain,Saint Etienne,"[2, 1]"
Montpellier,Monaco,"[2, 1]"
Lille,Nice,"[2, 1]"
Lens,Paris Saint Germain,"[1, 2]"
Rennes,Stade Brestois 29,"[1, 2]"
Lyon,Toulouse,"[0, 0]"
Saint Etienne,Nantes,"[1, 1]"
Angers,Auxerre,"[2, 0]"
Reims,Le Havre,"[1, 1]"
Marseille,Strasbourg,"[1, 1]"
Auxerre,Saint Etienne,"[1, 1]"
Monaco,Rennes,"[3, 2]"
Strasbourg,Lille,"[2, 1]"
Paris Saint Germain,Reims,"[1, 1]"
Le Havre,Stade Brestois 29,"[0, 1]"
Nantes,Lyon,"[1, 1]"
Toulouse,Montpellier,"[1, 2]"
Lens,Angers,"[1, 0]"
Nice,Marseille,"[2, 0]"
Montpellier,Lens,"[0, 2]"
Stade Brestois 29,Paris Saint Germain,"[2, 5]"
Monaco,Auxerre,"[4, 2]"
Lille,Saint Etienne,"[4, 1]"
Toulouse,Nice,"[1, 1]"
Angers,Le Havre,"[1, 1]"
Reims,Nantes,"[1, 2]"
Rennes,Strasbourg,"[1, 0]"
Marseille,Lyon,"[3, 2]"
Nantes,Stade Brestois 29,"[0, 2]"
Paris Saint Germain,Monaco,"[4, 1]"
Nice,Lens,"[2, 0]"
